,index,Date,Home Price Index,GDP(in Billions),Inflation Rate,Unemployment Rate,Population Growth
0,0,1987-01-01,63.965,4722.156,1.5,6.6,0.893829201032046
1,1,1987-02-01,64.423,4722.156,2.1,6.6,0.893829201032046
2,2,1987-03-01,64.735,4722.156,3.0,6.6,0.893829201032046
3,3,1987-04-01,65.131,4806.16,3.8,6.3,0.893829201032046
4,4,1987-05-01,65.563,4806.16,3.9,6.3,0.893829201032046
5,5,1987-06-01,66.071,4806.16,3.7,6.2,0.893829201032046
6,6,1987-07-01,66.507,4884.555,3.9,6.1,0.893829201032046
7,7,1987-08-01,66.938,4884.555,4.3,6.0,0.893829201032046
8,8,1987-09-01,67.331,4884.555,4.4,5.9,0.893829201032046
9,9,1987-10-01,67.73899999999999,5007.994,4.5,6.0,0.893829201032046
10,10,1987-11-01,68.108,5007.994,4.5,5.8,0.893829201032046
11,11,1987-12-01,68.506,5007.994,4.4,5.7,0.893829201032046
12,12,1988-01-01,68.857,5073.372,4.0,5.7,0.907999040167679
13,13,1988-02-01,69.26100000000001,5073.372,3.9,5.7,0.907999040167679
14,14,1988-03-01,69.637,5073.372,3.9,5.7,0.907999040167679
15,15,1988-04-01,69.976,5190.036,3.9,5.4,0.907999040167679
16,16,1988-05-01,70.426,5190.036,3.9,5.6,0.907999040167679
17,17,1988-06-01,70.889,5190.036,4.0,5.4,0.907999040167679
18,18,1988-07-01,71.355,5282.835,4.1,5.4,0.907999040167679
19,19,1988-08-01,71.8,5282.835,4.0,5.6,0.907999040167679
20,20,1988-09-01,72.241,5282.835,4.2,5.4,0.907999040167679
21,21,1988-10-01,72.63600000000001,5399.509,4.2,5.4,0.907999040167679
22,22,1988-11-01,73.072,5399.509,4.2,5.3,0.907999040167679
23,23,1988-12-01,73.465,5399.509,4.4,5.3,0.907999040167679
24,24,1989-01-01,73.947,5511.253,4.7,5.4,0.944405555428529
25,25,1989-02-01,74.383,5511.253,4.8,5.2,0.944405555428529
26,26,1989-03-01,74.779,5511.253,5.0,5.0,0.944405555428529
27,27,1989-04-01,75.085,5612.463,5.1,5.2,0.944405555428529
28,28,1989-05-01,75.306,5612.463,5.4,5.2,0.944405555428529
29,29,1989-06-01,75.48,5612.463,5.2,5.3,0.944405555428529
30,30,1989-07-01,75.656,5695.365,5.0,5.2,0.944405555428529
31,31,1989-08-01,75.834,5695.365,4.7,5.2,0.944405555428529
32,32,1989-09-01,76.056,5695.365,4.3,5.3,0.944405555428529
33,33,1989-10-01,76.283,5747.237,4.5,5.3,0.944405555428529
34,34,1989-11-01,76.521,5747.237,4.7,5.4,0.944405555428529
35,35,1989-12-01,76.705,5747.237,4.6,5.4,0.944405555428529
36,36,1990-01-01,76.89699999999999,5872.701,5.2,5.4,1.12965052045579
37,37,1990-02-01,77.053,5872.701,5.3,5.3,1.12965052045579
38,38,1990-03-01,77.20100000000001,5872.701,5.2,5.2,1.12965052045579
39,39,1990-04-01,77.278,5960.028,4.7,5.4,1.12965052045579
40,40,1990-05-01,77.297,5960.028,4.4,5.4,1.12965052045579
41,41,1990-06-01,77.258,5960.028,4.7,5.2,1.12965052045579
42,42,1990-07-01,77.139,6015.116,4.8,5.5,1.12965052045579
43,43,1990-08-01,77.009,6015.116,5.6,5.7,1.12965052045579
44,44,1990-09-01,76.84899999999999,6015.116,6.2,5.9,1.12965052045579
45,45,1990-10-01,76.699,6004.733,6.3,5.9,1.12965052045579
46,46,1990-11-01,76.37,6004.733,6.3,6.2,1.12965052045579
47,47,1990-12-01,76.184,6004.733,6.1,6.3,1.12965052045579
48,48,1991-01-01,75.915,6035.178,5.7,6.4,1.33626074073779
49,49,1991-02-01,75.734,6035.178,5.3,6.6,1.33626074073779
50,50,1991-03-01,75.569,6035.178,4.9,6.8,1.33626074073779
51,51,1991-04-01,75.565,6126.862,4.9,6.7,1.33626074073779
52,52,1991-05-01,75.764,6126.862,5.0,6.9,1.33626074073779
53,53,1991-06-01,75.992,6126.862,4.7,6.9,1.33626074073779
54,54,1991-07-01,76.082,6205.937,4.4,6.8,1.33626074073779
55,55,1991-08-01,76.109,6205.937,3.8,6.9,1.33626074073779
56,56,1991-09-01,76.193,6205.937,3.4,6.9,1.33626074073779
57,57,1991-10-01,76.074,6264.54,2.9,7.0,1.33626074073779
58,58,1991-11-01,76.014,6264.54,3.0,7.0,1.33626074073779
59,59,1991-12-01,76.056,6264.54,3.1,7.3,1.33626074073779
60,60,1992-01-01,76.087,6363.102,2.6,7.3,1.38688569247935
61,61,1992-02-01,76.156,6363.102,2.8,7.4,1.38688569247935
62,62,1992-03-01,76.27600000000001,6363.102,3.2,7.4,1.38688569247935
63,63,1992-04-01,76.345,6470.763,3.2,7.4,1.38688569247935
64,64,1992-05-01,76.398,6470.763,3.0,7.6,1.38688569247935
65,65,1992-06-01,76.332,6470.763,3.1,7.8,1.38688569247935
66,66,1992-07-01,76.263,6566.641,3.2,7.7,1.38688569247935
67,67,1992-08-01,76.23,6566.641,3.1,7.6,1.38688569247935
68,68,1992-09-01,76.238,6566.641,3.0,7.6,1.38688569247935
69,69,1992-10-01,76.375,6680.803,3.2,7.3,1.38688569247935
70,70,1992-11-01,76.558,6680.803,3.0,7.4,1.38688569247935
71,71,1992-12-01,76.67399999999999,6680.803,2.9,7.4,1.38688569247935
72,72,1993-01-01,76.78399999999999,6729.459,3.3,7.3,1.31867999977741
73,73,1993-02-01,76.837,6729.459,3.2,7.1,1.31867999977741
74,74,1993-03-01,76.868,6729.459,3.1,7.0,1.31867999977741
75,75,1993-04-01,76.936,6808.939,3.2,7.1,1.31867999977741
76,76,1993-05-01,77.038,6808.939,3.2,7.1,1.31867999977741
77,77,1993-06-01,77.243,6808.939,3.0,7.0,1.31867999977741
78,78,1993-07-01,77.43,6882.098,2.8,6.9,1.31867999977741
79,79,1993-08-01,77.612,6882.098,2.8,6.8,1.31867999977741
80,80,1993-09-01,77.794,6882.098,2.7,6.7,1.31867999977741
81,81,1993-10-01,77.941,7013.738,2.8,6.8,1.31867999977741
82,82,1993-11-01,78.14699999999999,7013.738,2.7,6.6,1.31867999977741
83,83,1993-12-01,78.325,7013.738,2.7,6.5,1.31867999977741
84,84,1994-01-01,78.59100000000001,7115.652,2.5,6.6,1.2262960888682
85,85,1994-02-01,78.727,7115.652,2.5,6.6,1.2262960888682
86,86,1994-03-01,78.85600000000001,7115.652,2.5,6.5,1.2262960888682
87,87,1994-04-01,78.986,7246.931,2.4,6.4,1.2262960888682
88,88,1994-05-01,79.222,7246.931,2.3,6.1,1.2262960888682
89,89,1994-06-01,79.422,7246.931,2.5,6.1,1.2262960888682
90,90,1994-07-01,79.594,7331.075,2.8,6.1,1.2262960888682
91,91,1994-08-01,79.781,7331.075,2.9,6.0,1.2262960888682
92,92,1994-09-01,79.919,7331.075,3.0,5.9,1.2262960888682
93,93,1994-10-01,80.065,7455.288,2.6,5.8,1.2262960888682
94,94,1994-11-01,80.15,7455.288,2.7,5.6,1.2262960888682
95,95,1994-12-01,80.296,7455.288,2.7,5.5,1.2262960888682
96,96,1995-01-01,80.426,7522.289,2.8,5.6,1.19078709090209
97,97,1995-02-01,80.528,7522.289,2.9,5.4,1.19078709090209
98,98,1995-03-01,80.597,7522.289,2.9,5.4,1.19078709090209
99,99,1995-04-01,80.661,7580.997,3.1,5.8,1.19078709090209
100,100,1995-05-01,80.703,7580.997,3.2,5.6,1.19078709090209
